School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,Blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
RADHA VATIKA SEN.SEC. SCHOOL,03090403002,Punjab,LUDHIANA,KHANNA-2,GPS KHANNA NO.II,GALWADDI,141401,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,60,39,58,51,57,63,64,63,52,64,85,89,745,804,39,48,48
DIAMOND MODEL SCHOOL,03090403003,Punjab,LUDHIANA,KHANNA-2,GPS KHANNA NO.II,GALWADDI,141401,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,16,0,2,2,0,0,0,0,0,0,0,0,20,20,0,4,4
R.V. MODEL SEN SEC SCHOOL,03090403004,Punjab,LUDHIANA,KHANNA-2,GPS KHANNA NO.II,GALWADDI,141401,10-Secondary with Higher Secondary,3-Co-educational,9,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,0,0,0,0,0,0,0,0,2,10,15,26,53,53,0,6,6
GPS KAURI,03090404901,Punjab,LUDHIANA,KHANNA-2,GPS BAHO MAJRA,KAURI,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,41,43,39,34,36,0,0,0,0,0,0,0,193,252,43,7,7
GMS KAURI,03090404902,Punjab,LUDHIANA,KHANNA-2,GPS BAHO MAJRA,KAURI,141401,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,35,28,24,0,0,0,0,87,87,0,4,4
ST. MOTHER TERESA PUBLIC SCHOOL,03090404903,Punjab,LUDHIANA,KHANNA-2,GPS BAHO MAJRA,KAURI,141401,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,27,34,30,41,39,36,42,47,27,31,21,13,388,442,34,19,19
GMS KHANNA KHURD,03090405002,Punjab,LUDHIANA,KHANNA-1,GPS KHANNA NO. I,Ward No.27,141401,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,50,60,57,0,0,0,0,167,167,0,7,7
SHER GILL PUBLIC SCHOOL,03090405003,Punjab,LUDHIANA,KHANNA-1,GPS KHANNA NO. I,Ward No.27,141401,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,0,0,4,2,5,3,1,3,0,0,0,0,18,19,0,3,3
GPS KHATRA,03090405101,Punjab,LUDHIANA,KHANNA-1,GPS KHANNA NO. I,KHATRA,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,9,11,14,13,16,0,0,0,0,0,0,0,63,90,11,4,4
GMS KHATRA,03090405102,Punjab,LUDHIANA,KHANNA-1,GPS KHANNA NO. I,KHATRA,141401,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,15,14,10,0,0,0,0,39,39,0,4,4
GPS KISHANGARH,03090405201,Punjab,LUDHIANA,KHANNA-2,GPS GHUNGRALI RAJPUTAN,KISHANGARH,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,6,5,8,7,6,0,0,0,0,0,0,0,32,45,5,3,3
GMS KISHANGARH,03090405202,Punjab,LUDHIANA,KHANNA-2,GPS GHUNGRALI RAJPUTAN,KISHANGARH,141401,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,15,16,10,0,0,0,0,41,41,0,3,3
SAFFRON CITY SCHOOL,03090405203,Punjab,LUDHIANA,KHANNA-2,GPS GHUNGRALI RAJPUTAN,KISHANGARH,141401,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,14,5,7,14,16,9,11,14,0,0,0,0,90,98,5,8,8
GPS MAJRI,03090406101,Punjab,LUDHIANA,KHANNA-1,GPS KHANNA NO. I,MAJRI,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,35,38,33,33,28,0,0,0,0,0,0,0,167,251,38,7,7
