School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
"Daya Nand Model Girls Sr. Sec. School,Mandir Marg, New Delhi",070502ND101,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",002-N.D (Ndmc-Charge No.2),110001,5-Up. Pr. Secondary and Higher Sec,2-Girls,6,12,4-Government Aided,4-Government Aided,,2-Urban,0,0,0,0,0,84,72,126,140,128,145,117,812,812,0,24,24
"Andh Mahavidyalya Middle School,Punchkuian Road, New Delhi",070502ND102,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",001-N.D (Ndmc-Charge No.1),110001,2-Primary with Upper Primary,1-Boys,1,8,4-Government Aided,4-Government Aided,,2-Urban,1,0,2,0,2,1,2,5,0,0,0,0,13,13,0,4,4
"Union Academy Boys Sr. Sec. School,Academy Lane, Raja Bazar, New Delhi",070502ND103,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",004-N.D (Ndmc-Charge No.4),110001,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Boys,1,12,4-Government Aided,4-Government Aided,,2-Urban,31,40,48,67,64,99,77,131,98,95,146,85,981,981,40,31,31
"R. M. Arya Girls Sr. Sec. School,Raja Bazar, New Delhi",070502ND104,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",004-N.D (Ndmc-Charge No.4),110001,3-Pr. with Up.Pr. Sec. and H.Sec.,2-Girls,1,12,4-Government Aided,4-Government Aided,,2-Urban,40,22,45,46,46,125,77,133,130,119,148,94,1025,1025,22,34,34
"P&T Sr. Sec. School,Atul Grove Road, New Delhi",070502ND105,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",001-N.D (Ndmc-Charge No.1),110001,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,4-Government Aided,4-Government Aided,,2-Urban,38,48,63,51,71,74,75,84,82,78,84,70,818,818,48,29,29
"Harcourt Butler Sr. Sec. School,Mandir Marg, New Delhi",070502ND106,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",001-N.D (Ndmc-Charge No.1),110001,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Boys,1,12,4-Government Aided,4-Government Aided,,2-Urban,35,53,74,94,97,117,134,124,122,135,142,114,1241,1241,53,37,37
"DTEA Sr. Sec. School,Mandir Marg, New Delhi",070502ND107,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",002-N.D (Ndmc-Charge No.2),110001,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,4-Government Aided,4-Government Aided,,2-Urban,44,48,67,55,57,74,76,79,69,93,81,58,801,801,48,33,33
"Bal Sahyog Middle School,Connaught Circus, (Near Shankar Market) New Delhi",070502ND201,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",001-N.D (Ndmc-Charge No.1),110001,4-Upper Primary only,1-Boys,6,8,4-Government Aided,4-Government Aided,,2-Urban,0,0,0,0,0,36,29,16,0,0,0,0,81,81,0,6,6
"Raisina Bengali Sr. Sec. School,Mandir Marg, New Delhi",070502ND202,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",002-N.D (Ndmc-Charge No.2),110001,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,4-Government Aided,4-Government Aided,,2-Urban,58,75,97,90,122,117,141,130,117,118,94,97,1256,1256,75,35,35
"Khrist Raja Girls Sec. School,Bangla Sahib Marg, New Delhi",070502ND203,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",004-N.D (Ndmc-Charge No.4),110001,6-Pr. Up Pr. and Secondary Only,2-Girls,1,10,4-Government Aided,4-Government Aided,,2-Urban,46,42,49,49,42,52,43,40,36,48,0,0,447,494,42,17,17
"Lady Irwin Sr. Sec. School,Canning Road, New Delhi",070502ND301,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",006-N.D (Ndmc-Charge No.6),110001,3-Pr. with Up.Pr. Sec. and H.Sec.,2-Girls,1,12,4-Government Aided,4-Government Aided,,2-Urban,243,237,273,241,255,259,262,270,271,265,284,261,3121,3121,237,82,82
"Kerala Edn. Society Sr. Sec. School,Canning Road, New Delhi",070502ND302,Delhi,NEW DELHI,DOE ZONE-26,"2026101-Atal Adarsh Bengali Balika Sr. Secondary Vidyalaya , Gole Market, New Delhi",001-N.D (Ndmc-Charge No.1),110001,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,4-Government Aided,4-Government Aided,,2-Urban,92,104,99,100,117,106,104,116,110,109,103,108,1268,1268,104,35,35
