School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
GPS BAMNOLI,06150200601,Haryana,JHAJJAR,BAHADURGARH,GSSS KANONDA,BAMNOLI,124507,1-Primary,1-Boys,1,5,1-Department of Education,1-Department of Education,,1-Rural,23,22,21,23,19,0,0,0,0,0,0,0,108,108,22,2,2
GGMSPS BAMNOLI,06150200602,Haryana,JHAJJAR,BAHADURGARH,GSSS KANONDA,BAMNOLI,124507,1-Primary,2-Girls,1,5,1-Department of Education,1-Department of Education,,1-Rural,22,9,16,18,16,0,0,0,0,0,0,0,81,81,9,3,3
GHS BAMNOLI,06150200604,Haryana,JHAJJAR,BAHADURGARH,GSSS KANONDA,BAMNOLI,124507,7-Upper Pr. and Secondary,1-Boys,6,10,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,17,14,12,26,24,0,0,93,93,0,9,9
GGHS BAMNOLI,06150200605,Haryana,JHAJJAR,BAHADURGARH,GSSS KANONDA,BAMNOLI,124507,7-Upper Pr. and Secondary,2-Girls,6,10,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,32,15,22,20,19,0,0,108,108,0,9,9
SHRI RAMA BHARTI PUBLIC SCHOOL,06150200606,Haryana,JHAJJAR,BAHADURGARH,GSSS KANONDA,BAMNOLI,124507,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,95,95,125,112,128,117,123,114,116,0,90,0,1115,1115,95,45,45
GMSPS BALOUR,06150200701,Haryana,JHAJJAR,BAHADURGARH,GSSS PARNALA,BALOUR,124507,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,45,43,47,53,64,0,0,0,0,0,0,0,252,252,43,7,7
GHS BALOUR,06150200702,Haryana,JHAJJAR,BAHADURGARH,GSSS PARNALA,BALOUR,124507,7-Upper Pr. and Secondary,3-Co-educational,6,10,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,69,54,63,67,51,0,0,304,304,0,13,13
GALAXY SR.SEC.S. BUPANIA,06150201006,Haryana,JHAJJAR,BAHADURGARH,GSSS BUPANIA,BHUPANIA,124507,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,20,24,25,18,17,18,10,11,25,38,75,76,357,357,24,9,9
M.D.SR.SEC.S. BUPANIA,06150201007,Haryana,JHAJJAR,BAHADURGARH,GSSS BUPANIA,BHUPANIA,124507,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,20,29,43,45,54,49,48,43,40,43,34,42,490,555,29,16,16
HOLY FAITH HIGH SCHOOL BUPANIA,06150201008,Haryana,JHAJJAR,BAHADURGARH,GSSS BUPANIA,BHUPANIA,124507,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,58,64,72,39,44,58,43,39,24,21,0,0,462,462,64,11,11
