School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
"North DMC Pratibha Vidyalaya (Girls) , Gali No. 24 Swatantra Nagar Narela, Delhi",07010400209,Delhi,NORTH WEST A,DOE ZONE-10,"1355100-North DMC Primary School (Girls) , Narela Colony, Delhi",005-N (Bankner),110040,1-Primary,2-Girls,1,5,3-Local body,3-Local body,,2-Urban,82,87,133,132,133,0,0,0,0,0,0,0,567,652,87,15,15
"North DMC Primary School (Girls) , Sannoth, Delhi",07010400306,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",004-N (Holambi Khurd),110040,1-Primary,2-Girls,1,5,3-Local body,3-Local body,,2-Urban,61,61,78,80,95,0,0,0,0,0,0,0,375,468,61,10,10
"North DMC Primary School (Boys) , Sannoth, Delhi",07010400307,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",004-N (Holambi Khurd),110040,1-Primary,1-Boys,1,5,3-Local body,3-Local body,,2-Urban,24,54,49,69,78,0,0,0,0,0,0,0,274,286,54,5,5
"North DMC Primary School (Co.ed) , Village Shahpur Garhi, Delhi-110040",07010400308,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",003-N (Alipur),110040,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,76,107,142,126,155,0,0,0,0,0,0,0,606,674,107,17,17
"North DMC Primary School (Co.ed) , Narela Sector B-4, Pocket -7, Delhi",07010400401,Delhi,NORTH WEST A,DOE ZONE-10,"1355100-North DMC Primary School (Girls) , Narela Colony, Delhi",003-N (Alipur),110040,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,64,87,117,158,156,0,0,0,0,0,0,0,582,631,87,14,14
"North DMC Pratibha Vidyalaya (Co.ed) , Swarn Jayanti Vihar, Tikri Khurd, Delhi",07010400402,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",003-N (Alipur),110040,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,41,84,95,95,111,0,0,0,0,0,0,0,426,473,84,10,10
"North DMC Primary School (Co.ed) , Tikri Khurd, Delhi",07010400403,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",003-N (Alipur),110040,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,102,146,199,223,255,0,0,0,0,0,0,0,925,1023,146,22,22
"North DMC Primary School (Girls) , Singhu, Delhi",07010400404,Delhi,NORTH WEST A,DOE ZONE-09,"1309267-Govt. Sarvodaya Kanya Vidyalaya (BMS), Bakhtawarpur, Delhi",002-N (Bakhtawarpur),110040,1-Primary,2-Girls,1,5,3-Local body,3-Local body,,2-Urban,72,76,106,113,144,0,0,0,0,0,0,0,511,604,76,14,14
"North DMC Primary School (Boys) , Singhu, Delhi",07010400405,Delhi,NORTH WEST A,DOE ZONE-09,"1309267-Govt. Sarvodaya Kanya Vidyalaya (BMS), Bakhtawarpur, Delhi",002-N (Bakhtawarpur),110040,1-Primary,1-Boys,1,5,3-Local body,3-Local body,,2-Urban,71,66,90,135,124,0,0,0,0,0,0,0,486,486,66,9,9
"Vishwa Manav Hunuman S.S Mandir,Mamoor Pur, Narela Delhi",07010600102,Delhi,NORTH WEST A,DOE ZONE-10,"1355100-North DMC Primary School (Girls) , Narela Colony, Delhi",001-N (Narela),110040,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,23,19,22,19,12,0,0,0,0,0,0,0,95,95,19,3,3
"C.K. Nair Public School,Narela Delhi",07010600104,Delhi,NORTH WEST A,DOE ZONE-10,"1355100-North DMC Primary School (Girls) , Narela Colony, Delhi",001-N (Narela),110040,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,0,5,10,5,16,0,0,0,0,0,0,0,36,36,5,3,3
"Surya Model School,Kh. No. 34/17 Plot No. 7 Sanjay Colony Saboli Rd. Narela, Delhi",07010600106,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",001-N (Narela),110040,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,0,1,2,2,1,0,0,0,0,0,0,0,6,6,1,5,5
"Aditya Bharti Public School,1950-A, Ram Dev Chowk, Memurpur, Narela, Delhi",07010600107,Delhi,NORTH WEST A,DOE ZONE-10,"1355100-North DMC Primary School (Girls) , Narela Colony, Delhi",005-N (Bankner),110040,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,4,8,18,6,7,0,0,0,0,0,0,0,43,43,8,5,5
"Nav Jeevan Public School,Bhoregarh, Narela Delhi",07010600201,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",001-N (Narela),110040,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,52,50,49,48,43,0,0,0,0,0,0,0,242,289,50,8,8
"Tomar Public School,Borgarh, Delhi",07010600202,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",003-N (Alipur),110040,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,44,46,48,44,43,0,0,0,0,0,0,0,225,246,46,8,8
"Saraswati Shishu Vidyalaya,Gali No 1, Swatantra Nagar, Narela, Delhi",07010600205,Delhi,NORTH WEST A,DOE ZONE-10,"1355100-North DMC Primary School (Girls) , Narela Colony, Delhi",005-N (Bankner),110040,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,5,4,6,5,5,0,0,0,0,0,0,0,25,25,4,3,3
"Mothers Choice School,T 153, Indra Colony, Lampur Rd, Narela, Delhi",07010600206,Delhi,NORTH WEST A,DOE ZONE-10,"1355100-North DMC Primary School (Girls) , Narela Colony, Delhi",001-N (Narela),110040,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,32,31,40,49,47,0,0,0,0,0,0,0,199,199,31,7,7
