School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
"Govt. Sarvodaya Vidyalaya,Block-L, Hari Nagar New Delhi",07070110901,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",011-S (Pratap Nagar),110064,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,1-Department of Education,1-Department of Education,,2-Urban,79,78,80,80,79,270,267,252,284,182,274,168,2093,2198,78,82,82
"Rajkiya Pratibha Vikas Vidyalaya,Block-B-E, Hari Nagar, Mayapuri Road, New Delhi",07070111101,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",010-S (Nangal Raya),110064,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,0,0,104,92,101,92,152,541,541,0,41,41
"Govt. Sarvodaya Kanya Vidyalaya,Hari Nagar, Clock Tower New Delhi",07070111102,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",011-S (Pratap Nagar),110064,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,1-Department of Education,1-Department of Education,,2-Urban,57,65,72,63,73,243,220,192,214,182,213,134,1728,1803,65,63,63
"Govt. Boys Sr. Sec. School,Hari Nagar Clock Tower, Site-2, New Delhi",07070111103,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",010-S (Nangal Raya),110064,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,192,215,203,213,145,217,109,1294,1294,0,47,47
"Guru Nanak Public School,G-8 Area Rajouri Garden Opp Hari Ngr Sports Complex New Delhi",07070310502,Delhi,WEST A,DOE ZONE-15,"1556066-SDMC Primary School (Co.ed) , Tatar Pur",005-S (Rajouri Garden),110064,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,,,,,,,,,,,,,1199,1240,,,
"Mahashai Chunilal Saraswati Bal Mandir,L-Block Hari Nagar New Delhi",07070310903,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",015-S (Janakpuri West),110064,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,0,0,0,0,0,72,109,119,207,224,262,231,1224,1224,0,39,39
"New Era Public School,Plot No-17 , Main Mayapuri Road Mayapuri New Delhi",07070311101,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",010-S (Nangal Raya),110064,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,225,225,244,172,208,232,286,281,336,229,253,240,2931,2931,225,90,90
"Tagore Sr Sec School,18 Mayapuri Marg Mayapuri New Delhi",07070311102,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",010-S (Nangal Raya),110064,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,100,107,175,188,160,135,135,135,163,158,145,148,1749,1860,107,60,60
"Mata Leelawanti Saraswati Vidya Mandir,H-16G, Hari Nagar, New Delhi",07070311104,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",011-S (Pratap Nagar),110064,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,116,118,122,133,147,47,50,48,0,0,0,0,781,928,118,26,26
"Guru Harkrishan Public School,M.S. -Block Hari Nagar New Delhi",07070311105,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",010-S (Nangal Raya),110064,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,20,12,18,16,19,6,8,4,0,0,0,0,103,120,12,9,9
"SDMC Pratibha Vidyalaya (Co.ed) , L-Block, Hari Nagar",07070410902,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",011-S (Pratap Nagar),110064,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,58,48,56,62,80,0,0,0,0,0,0,0,304,349,48,9,9
"SDMC Primary School (Co.ed) , Pratap Nagar New",07070411011,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",011-S (Pratap Nagar),110064,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,23,37,34,34,39,0,0,0,0,0,0,0,167,204,37,7,7
"SDMC Pratibha Vidyalaya (Co.ed) , DMS Colony Hari Nagar New",07070411012,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",010-S (Nangal Raya),110064,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,40,35,58,61,80,0,0,0,0,0,0,0,274,324,35,9,9
"SDMC Pratibha Vidyalaya (Co.ed) , Maya Puri Press Colony",07070411101,Delhi,WEST A,DOE ZONE-14,"1514021-Govt. Sarvodaya Kanya Vidyalaya, Hari Nagar, Clock Tower New Delhi",009-S (Subhash Nagar),110064,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,55,56,76,74,78,0,0,0,0,0,0,0,339,396,56,8,8
