School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
"Govt. Sarvodaya Kanya Vidyalaya (Janki Devi),Pocket II Mayur Vihar Phase I, Delhi",07040120901,Delhi,EAST,DOE ZONE-02,"1051004-EDMC Primary School (Girls) , Trilokpuri, Block-28, Delhi",001-E (Mayur Vihar Phase-I),110091,3-Pr. with Up.Pr. Sec. and H.Sec.,2-Girls,1,12,1-Department of Education,1-Department of Education,,2-Urban,78,79,80,79,79,333,335,296,372,412,495,305,2943,3016,79,107,107
"Govt. Sarvodaya Bal Vidyalaya (Prem Chand),Mayur Vihar, Phase I, Pkt. II, Delhi",07040120902,Delhi,EAST,DOE ZONE-02,"1051004-EDMC Primary School (Girls) , Trilokpuri, Block-28, Delhi",001-E (Mayur Vihar Phase-I),110091,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Boys,1,12,1-Department of Education,1-Department of Education,,2-Urban,79,80,80,79,80,301,307,318,384,350,355,202,2615,2735,80,76,76
"Govt. Sarvodaya Kanya Vidyalaya (Sharda Sen),Trilokpuri, Block 20, Delhi",07040120903,Delhi,EAST,DOE ZONE-02,"1051004-EDMC Primary School (Girls) , Trilokpuri, Block-28, Delhi",002-E (Trilokpuri-East),110091,3-Pr. with Up.Pr. Sec. and H.Sec.,2-Girls,1,12,1-Department of Education,1-Department of Education,,2-Urban,75,80,79,80,79,220,187,246,240,211,313,184,1994,2114,80,75,75
"Govt. Sarvodaya Bal Vidyalaya,Trilokpuri, Block 20, Delhi",07040120904,Delhi,EAST,DOE ZONE-02,"1051004-EDMC Primary School (Girls) , Trilokpuri, Block-28, Delhi",002-E (Trilokpuri-East),110091,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Boys,1,12,1-Department of Education,1-Department of Education,,2-Urban,72,78,80,79,80,215,208,213,226,193,277,113,1834,1897,78,60,60
"Govt. Boys Sr. Sec. School,Block-27, Trilokpuri, Delhi",07040121101,Delhi,EAST,DOE ZONE-02,"1002175-Govt. Girls Sr. Sec. School, Block-27, Trilokpuri, Delhi",001-E (Mayur Vihar Phase-I),110091,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,185,222,190,236,147,168,116,1264,1264,0,40,40
"Govt. Sarvodaya Bal Vidyalaya,Block-27, Trilokpuri, Delhi",07040121102,Delhi,EAST,DOE ZONE-02,"1002175-Govt. Girls Sr. Sec. School, Block-27, Trilokpuri, Delhi",003-E (Trilokpuri-West),110091,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Boys,1,12,1-Department of Education,1-Department of Education,,2-Urban,78,79,80,80,78,199,199,194,193,194,243,166,1783,1851,79,61,61
"Govt. Girls Sr. Sec. School,Block-27, Trilokpuri, Delhi",07040121103,Delhi,EAST,DOE ZONE-02,"1002175-Govt. Girls Sr. Sec. School, Block-27, Trilokpuri, Delhi",002-E (Trilokpuri-East),110091,5-Up. Pr. Secondary and Higher Sec,2-Girls,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,158,173,177,196,127,169,114,1114,1114,0,45,45
"Govt. Sarvodaya Kanya Vidyalaya,Trilokpuri, Block -27, Delhi",07040121104,Delhi,EAST,DOE ZONE-02,"1002175-Govt. Girls Sr. Sec. School, Block-27, Trilokpuri, Delhi",002-E (Trilokpuri-East),110091,3-Pr. with Up.Pr. Sec. and H.Sec.,2-Girls,1,12,1-Department of Education,1-Department of Education,,2-Urban,79,80,80,77,80,268,234,227,226,224,237,165,1977,2096,80,78,78
"Govt. Co-ed. Sr. Sec. School,Chilla Village,Near Parwana Aptts.,Mayur Vihar, Phase I, Delhi",07040121201,Delhi,EAST,DOE ZONE-02,"1002175-Govt. Girls Sr. Sec. School, Block-27, Trilokpuri, Delhi",012-E (Patpar Ganj),110091,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,276,270,262,381,391,341,248,2169,2169,0,66,66
"Govt. Sarvodaya Bal Vidyalaya,Kalyan Puri, Delhi",07040121301,Delhi,EAST,DOE ZONE-02,"1051051-EDMC Primary School (Co.ed) , Kalyan Puri, Block-16, Delhi",008-E (Kalyan Puri),110091,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Boys,1,12,1-Department of Education,1-Department of Education,,2-Urban,42,63,70,79,75,158,121,148,150,153,381,129,1569,1569,63,59,59
