School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
"Govt. Sarvodaya Bal Vidyalaya (Sardar Vallabhbhai Patel),Tuglakabad Extn. New Delhi",07090118501,Delhi,SOUTH EAST,DOE ZONE-29,"1925056-Govt. Sarvodaya Bal Vidyalaya, Tughlakabad Extn. New Delhi",082-S (Tughlakabad Extension),110019,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Boys,1,12,1-Department of Education,1-Department of Education,,2-Urban,31,57,79,64,73,167,191,180,207,237,289,185,1760,1794,57,57,57
"Govt. Girls Sr. Sec. School No.2,Tughlakabad Extn. New Delhi",07090118502,Delhi,SOUTH EAST,DOE ZONE-29,"1925056-Govt. Sarvodaya Bal Vidyalaya, Tughlakabad Extn. New Delhi",090-S (Kalkaji),110019,5-Up. Pr. Secondary and Higher Sec,2-Girls,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,264,234,249,229,170,703,414,2263,2263,0,69,69
"Govt. Boys Sr. Sec. School No.3,Tughlakabad Extn. New Delhi",07090118503,Delhi,SOUTH EAST,DOE ZONE-29,"1925056-Govt. Sarvodaya Bal Vidyalaya, Tughlakabad Extn. New Delhi",082-S (Tughlakabad Extension),110019,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,110,142,159,189,173,464,301,1538,1538,0,47,47
"Govt. Sarvodaya Kanya Vidyalaya (Aruna Asif Ali),Tughlakabad Extn. New Delhi",07090118504,Delhi,SOUTH EAST,DOE ZONE-29,"1925056-Govt. Sarvodaya Bal Vidyalaya, Tughlakabad Extn. New Delhi",082-S (Tughlakabad Extension),110019,3-Pr. with Up.Pr. Sec. and H.Sec.,2-Girls,1,12,1-Department of Education,1-Department of Education,,2-Urban,80,80,80,83,81,247,301,249,330,250,601,487,2869,2989,80,84,84
"Govt. Girls Sec. School,Tughlakabad Extn. New Delhi",07090118505,Delhi,SOUTH EAST,DOE ZONE-29,"1925056-Govt. Sarvodaya Bal Vidyalaya, Tughlakabad Extn. New Delhi",082-S (Tughlakabad Extension),110019,7-Upper Pr. and Secondary,2-Girls,6,10,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,264,207,275,212,196,0,0,1154,1154,0,37,37
"Govt. Boys Sr. Sec. School No.2,Tughlakabad Extn. New Delhi",07090118506,Delhi,SOUTH EAST,DOE ZONE-29,"1925056-Govt. Sarvodaya Bal Vidyalaya, Tughlakabad Extn. New Delhi",082-S (Tughlakabad Extension),110019,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,190,268,278,257,188,139,88,1408,1408,0,48,48
"Govt. Sarvodaya Kanya Vidyalaya (Shyama Prasad Mukherjee),Chitranjan Park New Delhi",07090119001,Delhi,SOUTH EAST,DOE ZONE-29,"1958073-SDMC Pratibha Vidyalaya (Girls) , DDA Slum, Kalkaji",087-S (Chitaranjan Park),110019,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,1-Department of Education,1-Department of Education,,2-Urban,79,79,80,80,79,161,148,175,152,174,274,176,1657,1774,79,57,57
"Govt. Boys Sr. Sec. School,Block-B, Chitranjan Park New Delhi",07090119002,Delhi,SOUTH EAST,DOE ZONE-29,"1958073-SDMC Pratibha Vidyalaya (Girls) , DDA Slum, Kalkaji",087-S (Chitaranjan Park),110019,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,154,152,152,175,157,213,135,1138,1138,0,42,42
"Govt. Boys Sr. Sec. School,DDA Flats, Phase-II, Kalkaji, New Delhi",07090119201,Delhi,SOUTH EAST,DOE ZONE-29,"1958073-SDMC Pratibha Vidyalaya (Girls) , DDA Slum, Kalkaji",086-S (Greater Kailash),110019,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,168,187,195,185,192,233,157,1317,1317,0,50,50
"Govt. Girls Sec. School,DDA Flats, Phase-II, Kalkaji, New Delhi",07090119601,Delhi,SOUTH EAST,DOE ZONE-29,"1958073-SDMC Pratibha Vidyalaya (Girls) , DDA Slum, Kalkaji",087-S (Chitaranjan Park),110019,7-Upper Pr. and Secondary,2-Girls,6,10,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,228,210,263,305,158,0,0,1164,1164,0,37,37
"Govt. Girls Sr. Sec. School,DDA Flats, Phase-II, Kalkaji, New Delhi",07090119602,Delhi,SOUTH EAST,DOE ZONE-29,"1958073-SDMC Pratibha Vidyalaya (Girls) , DDA Slum, Kalkaji",087-S (Chitaranjan Park),110019,5-Up. Pr. Secondary and Higher Sec,2-Girls,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,103,101,147,146,138,241,185,1061,1061,0,41,41
"Govt. Girls Sr. Sec. School No.3,Kalkaji New Delhi",07090119603,Delhi,SOUTH EAST,DOE ZONE-29,"1958073-SDMC Pratibha Vidyalaya (Girls) , DDA Slum, Kalkaji",091-S (Govind Puri),110019,5-Up. Pr. Secondary and Higher Sec,2-Girls,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,151,150,156,154,134,178,175,1098,1098,0,51,51
"Govt. Sarvodaya Kanya Vidyalaya No.2,Kalkaji New Delhi",07090119604,Delhi,SOUTH EAST,DOE ZONE-29,"1958073-SDMC Pratibha Vidyalaya (Girls) , DDA Slum, Kalkaji",090-S (Kalkaji),110019,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,1-Department of Education,1-Department of Education,,2-Urban,79,79,81,79,80,125,135,128,153,117,182,118,1356,1472,79,64,64
