School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
MODERN K C M PUBLIC SCHOOL HASSANPUR,06210200116,Haryana,PALWAL,HASSANPUR,GSSS HASSANPUR,HASSANPUR(RURAL),121106,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,42,59,54,49,49,54,0,0,0,0,0,0,307,307,59,13,13
RAJ PUBLIC SCHOOL BHAINDOLI,06210200903,Haryana,PALWAL,HASSANPUR,GSSS HASSANPUR,BHAINDOLI,121106,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,16,20,12,14,11,12,13,7,0,0,0,0,105,105,20,5,5
BAL VIDYA NIKETAN KHANBI,06210201404,Haryana,PALWAL,HASSANPUR,GSSS KHANBI,KHANBI,121106,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,131,182,144,150,124,158,153,176,157,155,212,249,1991,1991,182,48,48
GPS KHANBI,06210201405,Haryana,PALWAL,HASSANPUR,GSSS KHANBI,KHANBI,121106,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,15,27,17,22,21,0,0,0,0,0,0,0,102,102,27,4,4
GSSS KHANBI,06210201406,Haryana,PALWAL,HASSANPUR,GSSS KHANBI,KHANBI,121106,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,22,28,16,57,51,69,36,279,279,0,9,9
GYAN SIKHA PUBlIC SCHOOL KHANBI,06210201407,Haryana,PALWAL,HASSANPUR,GSSS KHANBI,KHANBI,121106,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,26,24,27,34,33,23,33,26,35,27,35,33,356,356,24,10,10
S L S N HIGH KHANBI,06210201409,Haryana,PALWAL,HASSANPUR,GSSS KHANBI,KHANBI,121106,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,6,7,7,12,8,11,13,8,60,914,0,0,1046,1046,7,10,10
GGPS KHANBI,06210201410,Haryana,PALWAL,HASSANPUR,GSSS KHANBI,KHANBI,121106,1-Primary,2-Girls,1,5,1-Department of Education,1-Department of Education,,1-Rural,26,19,16,27,26,0,0,0,0,0,0,0,114,114,19,5,5
SHANTI NIKETAN SCHOOL KHANBI,06210201412,Haryana,PALWAL,HASSANPUR,GSSS KHANBI,KHANBI,121106,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,47,19,23,27,23,12,10,5,0,0,0,0,166,166,19,9,9
BAL KISHAN MEMO. SCHOOL KHANBI,06210201414,Haryana,PALWAL,HASSANPUR,GSSS KHANBI,KHANBI,121106,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,20,15,18,12,10,8,14,15,4,11,0,0,127,127,15,12,12
GPS NAKHROLA,06210201501,Haryana,PALWAL,HASSANPUR,GSSS KHANBI,NAKHROLA,121106,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,27,48,29,23,32,0,0,0,0,0,0,0,159,159,48,5,5
